Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA
Date,,,,,,,,,,,,,,,
2025-08-27,229.8397674560547,503.5509033203125,181.35845947265625,230.24859923631865,504.09746017877256,182.24727507184866,227.6160475796746,496.75395340313815,178.86178472902657,227.96506627689797,498.8407434548062,181.7379436715125,31259500,17277900,235518900
2025-08-28,231.90391540527344,506.4326477050781,179.9303436279297,232.7515235304584,507.87350408410515,184.22462699678687,228.692998228932,502.3186878124423,176.17535050737845,230.16883391080088,503.89867767213724,180.5794881684096,38074700,18015600,281787800
2025-08-29,231.485107421875,503.5011901855469,173.94830322265625,232.7216147258446,506.39287997665497,177.91302365652732,230.71727541448905,501.3150235761296,172.91967451951007,231.85405874294378,505.458793364042,177.87308356836775,39418400,20961600,243257900
2025-09-02,229.07192993164062,501.9410705566406,170.5528564453125,230.19874691737337,502.81553721257154,172.15073449446965,226.3296880547272,493.68337117589067,166.997593786357,228.60325464814514,497.32034095368414,169.77389508693435,44075600,18128000,231164900
2025-09-03,237.79725646972656,502.1696472167969,170.39305114746094,238.17618932549604,504.5942937991858,172.18067877773825,233.69885053091846,499.1587173668126,168.6553752976972,236.5408165177042,500.6194673133705,170.83246833565184,66427800,16345100,164424900
2025-09-04,239.1035614013672,504.77313232421875,171.43167114257812,239.2232180033205,504.95199223037696,171.6314020660847,236.07214416452067,499.983459333639,169.1846639665207,237.77731160532718,501.1262158347851,170.34312465674856,47549400,15509500,141670100
2025-09-05,239.0137939453125,491.884765625,166.7978515625,240.63920029193574,508.74796779288187,168.80517258283567,237.81718240373485,489.27131242222254,163.8517783946414,239.32291694518142,505.86622472604114,167.8065026792569,54870400,31994800,224441400
2025-09-08,237.2089080810547,495.06463623046875,168.0861358642578,239.47249309970456,498.04575600626316,170.73262035939155,235.67324414176576,491.91457299081776,167.12742125141602,238.62490021245955,494.97517595073856,167.32715219255022,48999500,16771000,163769100
2025-09-09,233.68887329101562,495.2733154296875,170.53286743164062,238.1063683630383,499.0891451753406,170.75257602974241,232.70166073618753,494.5677922273047,166.51822538667548,236.33139119913957,498.27429847652155,168.86509051949957,66313900,14410500,157548400
2025-09-10,226.15020751953125,497.2209777832031,177.09414672851562,231.7643298806428,500.06299449245154,179.05153132643002,225.31258085277642,493.5939546766565,175.23661998400823,231.53498298240493,499.81456783685906,176.40506201448144,83440800,21611800,226852000
2025-09-11,229.3810577392578,497.8569641113281,176.94430541992188,229.7998710451417,500.00337405269875,180.05034427267074,226.010588238333,494.7466575341409,176.2551819566126,226.23995033725743,499.08915061774627,179.45110250300584,50208600,18881600,151159300
2025-09-12,233.40966796875,506.6910095214844,177.593505859375,233.84841389514688,509.32432605160386,178.37251110105626,228.3739115767776,500.67909648146514,176.22524055900428,228.5733443098202,503.4614629424367,177.5435664999128,55824200,23624900,124911000
2025-09-15,236.03224182128906,512.1166381835938,177.52357482910156,237.5180438551372,512.2259313574772,178.62217970015598,234.36695488957946,503.80926524972944,174.28769658655634,236.33139853346725,505.58800862213144,175.44622258887705,42699500,17143800,147061600
2025-09-16,237.4781494140625,505.8364562988281,174.65724182128906,240.53949594661788,513.9748860992247,177.27389957504343,235.65332541334,505.39922293408733,174.15787872389456,236.51088466190768,513.6271130220401,176.77453647764895,63421100,19711900,140737800
2025-09-17,238.3157958984375,506.81024169921875,170.0730743408203,239.42266510979977,508.07226852063866,172.97937117956877,237.05934071942244,502.74598524416496,168.1954794867923,238.2958480596019,507.4064717390096,172.42008695754546,46508000,15816600,211843800
2025-09-18,237.2089080810547,505.2501525878906,176.01551818847656,240.51953392817583,509.84107240669834,176.87442336525442,235.98236714862816,504.4651158521554,172.73969733735942,239.2930082114909,508.270998935228,173.7583871307785,44249600,18913700,191763300
2025-09-19,244.80740356445312,514.6705322265625,176.4449462890625,245.60514967420656,516.0319056285313,177.8531538116004,239.53233423145286,507.09849160720086,174.95683884616588,240.54944568604057,507.34691829589656,175.54609885389235,163741300,52474100,237182100
2025-09-22,255.35755920410156,511.21240234375,183.37612915039062,255.9160073848096,514.48167541423,184.31493427279133,247.42002368458668,509.3143886623668,174.48747153493287,247.5995237986898,512.3452424901319,175.07671637070237,105517400,20009300,269637000
2025-09-23,253.71221923828125,506.0252380371094,178.2027130126953,256.6140134777918,511.35152134239047,182.18763613663097,252.86462630601793,504.1173079645634,175.9855548133895,255.15814081026073,510.56645428814153,181.73821238324945,60275200,19799600,192559600
2025-09-24,251.59820556640625,506.9394226074219,176.74456787109375,255.01853710208397,509.2547456727144,179.5509859124944,250.33178410429736,503.72976965544393,175.17656050171237,254.49999981420794,507.16798604562155,179.54100413716742,42303700,13533700,143564100
2025-09-25,256.1453552246094,503.83905029296875,177.4636688232422,256.44452717224715,506.8003068435259,180.03038734713982,250.99992334214926,501.8615838862597,172.90947958662534,252.4956917858775,505.1010467430239,174.2577508730865,55202100,15786500,191586700
